"UF da residência";" -90 dias a -61 dias";" -60 dias a -31 dias";" -30 dias a -1 dia";"mesmo dia (tempo 0 dia)";"1 a 10 dias";"11 a 20 dias";"21 a 30 dias";"31 a 40 dias";"41 a 50 dias";"51 a 60 dia";"61 a 90 dias";"91 a 120 dias";"121 dias a 300 dias";"301 dias a 365 dias";"366 a 730 dias";"mais de dois anos";"Sem informação de tratamento";" Total"
"11 Rondônia";"2";"2";"14";"60";"116";"42";"23";"18";"15";"6";"14";"11";"22";"4";"10";"6";"708";"1073"
"12 Acre";"1";"1";"2";"23";"33";"11";"15";"6";"5";"2";"7";"2";"9";"5";"1";"3";"29";"155"
"13 Amazonas";"0";"3";"8";"125";"252";"65";"40";"27";"18";"14";"29";"19";"44";"10";"18";"10";"250";"932"
"14 Roraima";"1";"0";"2";"30";"38";"20";"12";"3";"1";"3";"4";"2";"5";"0";"7";"1";"176";"305"
"15 Pará";"1";"0";"25";"512";"194";"96";"72";"40";"34";"14";"40";"42";"55";"13";"28";"6";"1368";"2540"
"16 Amapá";"0";"0";"1";"29";"20";"11";"3";"1";"3";"3";"4";"3";"7";"1";"1";"2";"51";"140"
"17 Tocantins";"0";"0";"3";"96";"45";"15";"13";"15";"7";"2";"5";"11";"15";"1";"6";"7";"674";"915"
"21 Maranhão";"2";"1";"10";"379";"231";"124";"69";"68";"42";"20";"45";"21";"75";"11";"21";"13";"2484";"3616"
"22 Piauí";"0";"0";"1";"156";"161";"52";"30";"18";"9";"11";"16";"7";"21";"1";"14";"8";"417";"922"
"23 Ceará";"0";"3";"42";"258";"390";"209";"122";"61";"40";"37";"46";"32";"72";"20";"43";"22";"1787";"3184"
"24 Rio Grande do Norte";"0";"1";"4";"472";"173";"75";"43";"18";"17";"22";"29";"6";"35";"5";"19";"13";"1681";"2613"
"25 Paraíba";"1";"0";"11";"217";"211";"64";"41";"23";"27";"14";"42";"17";"46";"4";"42";"7";"707";"1474"
"26 Pernambuco";"2";"11";"41";"817";"401";"156";"114";"77";"39";"21";"28";"27";"76";"12";"39";"23";"3035";"4919"
"27 Alagoas";"1";"0";"3";"378";"133";"44";"33";"22";"18";"10";"25";"12";"35";"6";"15";"6";"1419";"2160"
"28 Sergipe";"1";"2";"10";"133";"6";"21";"20";"21";"12";"10";"29";"15";"41";"3";"3";"5";"133";"465"
"29 Bahia";"7";"19";"48";"1083";"505";"141";"99";"70";"40";"49";"66";"46";"109";"24";"41";"29";"1174";"3550"
"31 Minas Gerais";"2";"2";"32";"1793";"712";"261";"168";"114";"88";"67";"126";"73";"173";"28";"87";"42";"3636";"7404"
"32 Espírito Santo";"2";"3";"21";"177";"207";"30";"36";"31";"25";"10";"16";"13";"31";"9";"11";"8";"454";"1084"
"33 Rio de Janeiro";"1";"20";"79";"511";"307";"152";"103";"71";"44";"25";"70";"47";"144";"22";"63";"25";"3095";"4779"
"35 São Paulo";"6";"21";"90";"3469";"1048";"592";"303";"217";"155";"93";"178";"122";"322";"74";"153";"100";"8640";"15583"
"41 Paraná";"1";"6";"3";"1961";"465";"177";"105";"73";"45";"33";"75";"52";"93";"15";"50";"18";"1482";"4654"
"42 Santa Catarina";"1";"0";"16";"1055";"301";"91";"70";"48";"37";"28";"43";"29";"108";"30";"28";"14";"2763";"4662"
"43 Rio Grande do Sul";"3";"4";"45";"1488";"492";"159";"104";"73";"51";"38";"63";"33";"106";"22";"60";"24";"5541";"8306"
"50 Mato Grosso do Sul";"1";"0";"2";"375";"90";"39";"25";"13";"10";"6";"13";"6";"16";"2";"10";"5";"454";"1067"
"51 Mato Grosso";"0";"2";"3";"304";"104";"37";"30";"20";"15";"8";"14";"5";"31";"6";"15";"5";"527";"1126"
"52 Goiás";"1";"1";"9";"594";"290";"106";"84";"55";"37";"30";"44";"20";"61";"16";"42";"13";"1208";"2611"
"53 Distrito Federal";"1";"2";"16";"201";"144";"50";"36";"18";"11";"9";"15";"3";"13";"5";"9";"2";"306";"841"
"Total";"38";"104";"541";"16696";"7069";"2840";"1813";"1221";"845";"585";"1086";"676";"1765";"349";"836";"417";"44199";"81080"
